tweet_id,favorite_count,retweet_count
831322785565769729,8758,1447
831315979191906304,6179,1039
831309418084069378,11106,2271
831262627380748289,11177,1894
830956169170665475,7518,1376
830583320585068544,62511,15429
830173239259324417,0,5247
830097400375152640,9177,2702
829878982036299777,0,4614
829861396166877184,11536,1795
829501995190984704,29922,9783
829449946868879360,9892,1863
829141528400556032,22931,6773
829011960981237760,50301,15118
828801551087042563,0,3165
828770345708580865,24109,5401
828708714936930305,34291,10339
828650029636317184,8963,1241
828409743546925057,6047,1080
828408677031882754,7264,1188
828381636999917570,11880,2062
828376505180889089,6989,995
828372645993398273,11877,2727
828361771580813312,2072,165
828046555563323392,11062,2658
828011680017821696,9781,1996
827933404142436356,18870,4838
827653905312006145,14604,2793
827600520311402496,7064,865
827324948884643840,14951,2811
827199976799354881,10006,2061
826958653328592898,20331,4614
826848821049180160,34051,9346
826615380357632002,0,3683
826598799820865537,4861,230
826598365270007810,9455,2183
826476773533745153,17375,3893
826240494070030336,12534,2418
826204788643753985,4601,856
826115272272650244,14739,2873
825876512159186944,9924,1737
825829644528148480,12027,2334
825535076884762624,53993,16358
825147591692263424,17265,4185
825120256414846976,0,1167
825026590719483904,5911,1167
824796380199809024,0,5103
824775126675836928,14068,3275
824663926340194305,9938,1643
824325613288833024,11183,9890
824297048279236611,14234,3568
824025158776213504,4576,558
823939628516474880,10055,2539
823719002937630720,0,10360
823699002998870016,13212,2336
823581115634085888,12269,2443
823333489516937216,662,22
823322678127919110,14834,3717
823269594223824897,0,9231
822975315408461824,16368,3199
822872901745569793,124087,39911
822859134160621569,12456,2110
822647212903690241,0,5955
822610361945911296,13976,2735
822489057087389700,17110,5955
822462944365645825,26313,13154
822244816520155136,33121,9231
822163064745328640,0,4378
821886076407029760,10677,2142
821813639212650496,0,3127
821765923262631936,7905,1556
821522889702862852,7569,1632
821421320206483457,0,5129
821407182352777218,11107,3994
821153421864615936,236,9
821149554670182400,8109,1826
821107785811234820,9069,1974
821044531881721856,11962,2126
820837357901512704,0,6241
820749716845686786,29834,9212
820690176645140481,11585,3003
820494788566847489,0,523
820446719150292993,0,2393
820314633777061888,3158,523
820078625395449857,18641,5792
820013781606658049,0,1082
819952236453363712,5015,1082
819924195358416896,12236,4548
819711362133872643,12611,2874
819588359383371776,9158,1868
819347104292290561,6841,1116
819238181065359361,2137,379
819227688460238848,21794,6241
819015337530290176,0,34537
819015331746349057,0,17795
819006400881917954,43036,17794
819004803107983360,82701,34537
818646164899774465,0,19452
818627210458333184,21226,7057
818614493328580609,9298,2353
818588835076603904,0,5696
818536468981415936,10275,2272
818307523543449600,0,7461
818259473185828864,10417,2087
818145370475810820,11617,2369
817908911860748288,4609,740
817827839487737858,48649,25125
817777686764523521,10224,2521
817536400337801217,11125,2728
817502432452313088,0,3145
817423860136083457,31855,13597
817415592588222464,5297,889
817181837579653120,0,7865
817171292965273600,8312,1868
817120970343411712,11547,2413
817056546584727552,8138,1517
816829038950027264,0,4389
816816676327063552,9481,1895
816697700272001025,9243,2056
816450570814898180,28719,7461
816336735214911488,8166,1802
816091915477250048,8479,1988
816062466425819140,0,944
816014286006976512,0,4878
815990720817401858,4689,944
815966073409433600,21135,7865
815745968457060357,0,3857
815736392542261248,9310,2121
815639385530101762,7826,1552
815390420867969024,9829,3572
814986499976527872,7257,1186
814638523311648768,10693,2523
814578408554463233,0,5458
814530161257443328,8217,1740
814153002265309185,27251,8113
813944609378369540,0,2957
813910438903693312,8860,1730
813812741911748608,34640,13032
813800681631023104,7885,1650
813217897535406080,17692,6848
813202720496779264,8772,1705
813187593374461952,18831,4047
813172488309972993,8807,1808
813157409116065792,7383,2066
813142292504645637,8082,2243
813130366689148928,4261,418
813127251579564032,11213,2920
813112105746448384,9795,2568
813096984823349248,10034,3387
813081950185472002,9424,2596
813066809284972545,7544,1828
813051746834595840,19918,6858
812781120811126785,7153,1787
812709060537683968,6295,1352
812503143955202048,5741,1148
812466873996607488,7570,1802
812372279581671427,12937,3423
811985624773361665,6912,1312
811744202451197953,7164,1477
811647686436880384,5321,682
811627233043480576,12075,2852
811386762094317568,19866,5980
810984652412424192,5057,1330
810896069567610880,8544,1644
810657578271330305,10431,2468
810284430598270976,33324,10495
810254108431155201,13976,3165
809920764300447744,14783,3683
809808892968534016,0,4580
809448704142938112,6610,1370
809220051211603969,18888,5247
809084759137812480,12560,3306
808838249661788160,9643,2865
808733504066486276,7504,2034
808501579447930884,10763,2454
808344865868283904,40203,19452
808134635716833280,0,5519
808106460588765185,8390,2068
808001312164028416,11853,3310
807621403335917568,13853,3388
807106840509214720,111668,51655
807059379405148160,0,6891
807010152071229440,12474,3630
806629075125202948,70626,32383
806620845233815552,0,5147
806576416489959424,4662,1824
806542213899489280,9737,2218
806242860592926720,0,10885
806219024703037440,6133,1134
805958939288408065,0,5013
805932879469572096,7885,1802
805826884734976000,6244,1716
805823200554876929,0,7480
805520635690676224,5485,1551
805487436403003392,8352,2382
805207613751304193,7484,1628
804738756058218496,12993,3601
804475857670639616,5845,1892
804413760345620481,0,3012
804026241225523202,42076,15053
803773340896923648,9565,2587
803692223237865472,0,6929
803638050916102144,10379,3885
803380650405482500,7394,1768
803321560782307329,0,4958
803276597545603072,9555,2298
802952499103731712,8578,1874
802624713319034886,0,2725
802600418706604034,6766,1383
802572683846291456,8519,2356
802323869084381190,15340,5480
802265048156610565,6622,1295
802239329049477120,8647,2458
802185808107208704,0,251
801958328846974976,7364,1597
801854953262350336,1725,219
801538201127157760,7815,1951
801285448605831168,5744,771
801167903437357056,23180,5519
801127390143516673,0,3697
801115127852503040,7676,1985
800859414831898624,646,91
800855607700029440,0,1517
800751577355128832,10090,2635
800513324630806528,12498,2832
800459316964663297,9048,2060
800443802682937345,0,4024
800388270626521089,10622,2637
800188575492947969,0,3695
800141422401830912,14518,2393
800018252395122689,26907,12322
799774291445383169,0,4371
799757965289017345,7978,2002
799422933579902976,7688,1800
799308762079035393,0,5088
799297110730567681,9385,2565
799063482566066176,7696,2341
798933969379225600,12428,4161
798925684722855936,7158,1362
798705661114773508,0,6218
798701998996647937,0,7247
798697898615730177,0,6102
798694562394996736,0,4642
798686750113755136,0,2180
798682547630837760,0,4434
798673117451325440,0,5223
798665375516884993,0,3677
798644042770751489,0,1746
798628517273620480,0,1866
798585098161549313,0,5275
798576900688019456,0,5485
798340744599797760,0,3139
798209839306514432,9928,2424
797971864723324932,10958,2892
797545162159308800,13886,4619
797236660651966464,18940,6163
797165961484890113,212,24
796904159865868288,0,8359
796865951799083009,7315,1829
796759840936919040,11214,2837
796563435802726400,0,6743
796484825502875648,7188,1652
796387464403357696,10468,3893
796177847564038144,0,13375
796149749086875649,30534,13375
796125600683540480,4739,1686
796116448414461957,8643,2252
796080075804475393,8025,2168
796031486298386433,10277,3501
795464331001561088,46803,21977
795400264262053889,9520,2684
